idx_from,state_from,onset_from_s,idx_to,state_to,onset_to_s,transition_time_s,transition_id,state_from_freq,subject,block
41,1,84.00750000000001,42,2,85.970625,1.963124999999991,12,h,BE13RE,B4
42,2,85.970625,43,3,88.3225,2.351875000000007,23,h,BE13RE,B4
43,3,88.3225,44,4,89.84,1.5174999999999983,34,h,BE13RE,B4
44,4,89.84,45,5,91.481875,1.6418749999999989,45,h,BE13RE,B4
45,5,91.481875,46,7,93.181875,1.7000000000000028,57,s,BE13RE,B4
46,7,93.181875,47,8,95.005,1.8231249999999903,78,h,BE13RE,B4
47,8,95.005,48,9,96.55875,1.553750000000008,89,h,BE13RE,B4
48,9,96.55875,49,1,98.170625,1.6118749999999977,91,h,BE13RE,B4
49,1,98.170625,50,2,101.855,3.684375000000003,12,h,BE13RE,B4
50,2,101.855,51,3,104.401875,2.546875,23,h,BE13RE,B4
51,3,104.401875,52,4,105.760625,1.3587500000000006,34,h,BE13RE,B4
52,4,105.760625,53,6,107.545625,1.7849999999999966,46,s,BE13RE,B4
53,6,107.545625,54,7,109.075,1.5293750000000017,67,h,BE13RE,B4
56,7,109.306875,57,8,111.65375,2.346874999999997,78,h,BE13RE,B4
57,8,111.65375,58,9,113.32000000000001,1.6662500000000051,89,h,BE13RE,B4
58,9,113.32000000000001,59,1,114.85000000000001,1.5300000000000011,91,h,BE13RE,B4
59,1,114.85000000000001,60,2,116.760625,1.910624999999996,12,h,BE13RE,B4
60,2,116.760625,61,3,118.530625,1.769999999999996,23,h,BE13RE,B4
61,3,118.530625,62,2,120.41187500000001,1.8812500000000085,32,s,BE13RE,B4
62,2,120.41187500000001,63,3,122.55875,2.1468749999999943,23,h,BE13RE,B4
63,3,122.55875,64,4,123.97875,1.4200000000000017,34,h,BE13RE,B4
64,4,123.97875,65,5,125.78,1.801249999999996,45,h,BE13RE,B4
65,5,125.78,66,6,127.38000000000001,1.6000000000000085,56,h,BE13RE,B4
66,6,127.38000000000001,67,7,129.115,1.7349999999999994,67,h,BE13RE,B4
67,7,129.115,68,8,130.96375,1.8487499999999955,78,h,BE13RE,B4
68,8,130.96375,69,1,132.4675,1.5037499999999966,81,s,BE13RE,B4
69,1,132.4675,70,2,134.420625,1.953125,12,h,BE13RE,B4
70,2,134.420625,71,3,136.105625,1.6850000000000023,23,h,BE13RE,B4
71,3,136.105625,72,4,137.6025,1.4968749999999886,34,h,BE13RE,B4
72,4,137.6025,73,5,139.555,1.9525000000000148,45,h,BE13RE,B4
73,5,139.555,74,6,141.365625,1.8106249999999875,56,h,BE13RE,B4
0,6,5.6975,1,7,7.43,1.7325,67,h,BE13RE,B5
1,7,7.43,2,8,9.61,2.1799999999999997,78,h,BE13RE,B5
2,8,9.61,3,9,11.286875,1.6768750000000008,89,h,BE13RE,B5
3,9,11.286875,4,1,12.901875,1.6150000000000002,91,h,BE13RE,B5
4,1,12.901875,5,2,14.336875000000001,1.4350000000000005,12,h,BE13RE,B5
5,2,14.336875000000001,6,3,15.87875,1.5418749999999992,23,h,BE13RE,B5
6,3,15.87875,7,4,17.166875,1.2881250000000009,34,h,BE13RE,B5
7,4,17.166875,8,5,18.4975,1.3306249999999977,45,h,BE13RE,B5
8,5,18.4975,9,6,19.93,1.432500000000001,56,h,BE13RE,B5
9,6,19.93,10,7,21.44875,1.5187500000000007,67,h,BE13RE,B5
10,7,21.44875,11,9,23.121875,1.6731249999999989,79,s,BE13RE,B5
11,9,23.121875,12,1,24.5575,1.4356250000000017,91,h,BE13RE,B5
12,1,24.5575,13,2,25.92875,1.3712499999999999,12,h,BE13RE,B5
13,2,25.92875,14,3,27.345625000000002,1.416875000000001,23,h,BE13RE,B5
14,3,27.345625000000002,15,4,28.73,1.3843749999999986,34,h,BE13RE,B5
15,4,28.73,16,5,30.590625,1.8606249999999989,45,h,BE13RE,B5
